AI TYPE,Enemy Type,Group,VICTORIES,DEFEATS,Win%,DPS,ROUND LENGTH,Tweet,Light-Skin Stare,Fact-Check,Cancel,OK BOOMER!!!,Tweet %,Light-Skin Stare %,Fact-Check %,Cancel %,OK BOOMER!!! %,Ratings,Ratings Difference
Player,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spam1,MeleeEnemy,N/A,1,0,100,78,17.3597,14,1,1,1,0,82%,6,6,6,0,83,
Spam2,SniperEnemy,N/A,1,0,100,74,14.60298,12,2,2,1,0,0,0,0,0,0,90,
Spam3,MeleeEliteEnemy,N/A,0,1,0,138,21.99233,19,2,3,2,0,0,0,0,0,0,0,
Spam4,N/A,3 x MeleeEnemy,1,0,100,184,19.79035,17,2,4,3,0,0,0,0,0,0,0,
Spam5,N/A,3 x SniperEnemy,0,1,0,102,59.69407,51,10,10,0,0,0,0,0,0,0,0,
Spam6,N/A,3 x MeleeEliteEnemy,0,1,0,12,8.089589,6,2,1,0,0,0,0,0,0,0,-8,
Spam7,N/A,1 x NFTBroEnemy2 x MeleeEnemy,1,0,100,182,48.61459,41,6,9,2,0,0,0,0,0,0,0,
Spam8,Group,3 x AIBroEnemy,0,1,0,360,64.63781,55,9,10,5,0,0,0,0,0,0,0,
Spam9,Group,3 x RivalEnemy,0,1,0,62,8.176087,6,1,2,1,0,0,0,0,0,0,-89.66666,
Spam10,Mixed,1 x MeleeEnemy 1 x SniperEnemy 1 x MeleeEliteEnemy,0,1,0,24,13.84117,12,1,1,0,0,0,0,0,0,0,-92,
Spam11,Mixed,2 x SniperEnemy 1 x RivalEnemy,0,1,0,128,16.23637,14,2,3,2,0,0,0,0,0,0,-57.33333,
Spam12,Mixed,1 x NFTBroEnemy 1 x MeleeEliteEnemy 1 x SniperEnemy,0,1,0,130,18.39009,15,1,3,2,0,0,0,0,0,0,-56.66667,
Spam13,Mixed,1 x AIBroEnemy 2 x MeleeEliteEnemy,0,1,0,20,11.25256,10,2,2,0,0,0,0,0,0,0,-30.90909,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,23.04840686,,,,,,,,,,,,
