AI TYPE,Enemy Type,Group,VICTORIES,DEFEATS,Win%,DPS,Healing Done,ROUND LENGTH,Tweet,Light-Skin Stare,Fact-Check,Cancel,OK BOOMER!!!,Tweet %,Light-Skin Stare %,Fact-Check %,Cancel %,OK BOOMER!!! %,Ratings,Ratings Difference
Player,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spam1,MeleeEnemy,N/A,1,0,100,50,0,27.98286,25,0,0,0,0,0,0,0,0,0,57,
Spam2,SniperEnemy,N/A,1,0,100,50,175,48.43803,0,1,7,0,0,0,0,0,0,0,57,
Spam3,MeleeEliteEnemy,N/A,0,1,0,8,100,20.64739,3,1,4,0,0,0,0,0,0,0,0,
Spam4,N/A,3 x MeleeEnemy,1,0,100,210,250,59.75538,39,8,10,2,0,0,0,0,0,0,0,
Spam5,N/A,3 x SniperEnemy,0,1,0,92,125,33.03828,21,2,5,1,0,0,0,0,0,0,0,
Spam6,N/A,3 x MeleeEliteEnemy,0,1,0,54,25,7.032547,2,0,1,1,0,0,0,0,0,0,-16.33333,
Spam7,N/A,1 x NFTBroEnemy2 x MeleeEnemy,1,0,100,242,200,51.15608,39,3,8,2,0,0,0,0,0,0,0,
Spam8,Group,3 x AIBroEnemy,1,0,100,1908,150,32.39221,24,1,6,2,1,0,0,0,0,0,23.5,
Spam9,Group,3 x RivalEnemy,0,1,0,12,50,8.017923,5,0,2,0,0,0,0,0,0,0,0,
Spam10,Mixed,1 x MeleeEnemy 1 x SniperEnemy 1 x MeleeEliteEnemy,0,1,0,64,50,12.00917,6,1,2,1,0,0,0,0,0,0,-78.66666,
Spam11,Mixed,2 x SniperEnemy 1 x RivalEnemy,0,1,0,198,125,24.0182,19,1,5,3,0,0,0,0,0,0,-39.33333,
Spam12,Mixed,1 x NFTBroEnemy 1 x MeleeEliteEnemy 1 x SniperEnemy,0,1,0,90,100,20.44075,16,2,4,1,0,0,0,0,0,0,-39.33333,
Spam13,Mixed,1 x AIBroEnemy 2 x MeleeEliteEnemy,0,1,0,66,50,9.009553,8,0,2,1,0,0,0,0,0,0,-44.21053,
