AI TYPE,Enemy Type,Group,VICTORIES,DEFEATS,Win%,DPS,ROUND LENGTH,Tweet,Light-Skin Stare,Fact-Check,Cancel,OK BOOMER!!!,Tweet %,Light-Skin Stare %,Fact-Check %,Cancel %,OK BOOMER!!! %,Ratings,Ratings Difference
Player,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spam1,MeleeEnemy,N/A,1,0,100,66,17.8637,8,2,2,1,0,0,0,0,0,0,95,
Spam2,SniperEnemy,N/A,1,0,100,70,23.6862,10,4,4,1,0,0,0,0,0,0,90,
Spam3,MeleeEliteEnemy,N/A,1,0,100,238,31.13477,19,3,6,2,1,0,0,0,0,0,7.5,
Spam4,N/A,3 x MeleeEnemy,1,0,100,180,23.1028,15,2,4,3,0,0,0,0,0,0,30,
Spam5,N/A,3 x SniperEnemy,1,0,100,186,27.18337,18,3,5,3,0,0,0,0,0,0,65,
Spam6,N/A,3 x MeleeEliteEnemy,0,1,0,60,6.676642,5,0,1,1,0,0,0,0,0,0,0,
Spam7,N/A,1 x NFTBroEnemy2 x MeleeEnemy,1,0,100,178,54.55222,39,6,9,2,0,0,0,0,0,0,0,
Spam8,Group,3 x AIBroEnemy,1,0,100,1108,41.22118,29,3,6,1,2,0,0,0,0,0,13,
Spam9,Group,3 x RivalEnemy,0,1,0,58,8.015678,4,0,1,1,0,0,0,0,0,0,0,
Spam10,Mixed,1 x MeleeEnemy 1 x SniperEnemy 1 x MeleeEliteEnemy,0,1,0,118,16.37979,9,0,2,2,0,0,0,0,0,0,-60.66667,
Spam11,Mixed,2 x SniperEnemy 1 x RivalEnemy,0,1,0,126,16.00609,13,1,2,2,0,0,0,0,0,0,-58,
Spam12,Mixed,1 x NFTBroEnemy 1 x MeleeEliteEnemy 1 x SniperEnemy,0,1,0,80,17.81673,15,1,3,1,0,0,0,0,0,0,-58,
Spam13,Mixed,1 x AIBroEnemy 2 x MeleeEliteEnemy,0,1,0,66,9.218287,8,0,1,1,0,0,0,0,0,0,-44,
